anno,month,type,value
2010,1,AMAZONAS,1
2010,1,ANTIOQUIA,90
2010,1,ARAUCA,7
2010,1,ATLANTICO,153
2010,1,BOLIVAR,71
2010,1,BOYACA,48
2010,1,CALDAS,103
2010,1,CAQUETA,34
2010,1,CASANARE,9
2010,1,CAUCA,36
2010,1,CESAR,52
2010,1,CHOCO,5
2010,1,CORDOBA,13
2010,1,CUNDINAMARCA,509
2010,1,GUAINIA,0
2010,1,GUAJIRA,20
2010,1,GUAVIARE,3
2010,1,HUILA,85
2010,1,MAGDALENA,37
2010,1,META,169
2010,1,NARINO,57
2010,1,NORTE DE SANTANDER,10
2010,1,PUTUMAYO,12
2010,1,QUINDIO,20
2010,1,RISARALDA,57
2010,1,SAN ANDRES,4
2010,1,SANTANDER,203
2010,1,SUCRE,111
2010,1,TOLIMA,95
2010,1,VALLE,353
2010,1,VAUPES,3
2010,1,VICHADA,1
2010,2,AMAZONAS,1
2010,2,ANTIOQUIA,110
2010,2,ARAUCA,2
2010,2,ATLANTICO,110
2010,2,BOLIVAR,30
2010,2,BOYACA,48
2010,2,CALDAS,64
2010,2,CAQUETA,19
2010,2,CASANARE,5
2010,2,CAUCA,14
2010,2,CESAR,46
2010,2,CHOCO,1
2010,2,CORDOBA,4
2010,2,CUNDINAMARCA,565
2010,2,GUAINIA,0
2010,2,GUAJIRA,17
2010,2,GUAVIARE,0
2010,2,HUILA,52
2010,2,MAGDALENA,19
2010,2,META,192
2010,2,NARINO,149
2010,2,NORTE DE SANTANDER,9
2010,2,PUTUMAYO,9
2010,2,QUINDIO,24
2010,2,RISARALDA,47
2010,2,SAN ANDRES,1
2010,2,SANTANDER,223
2010,2,SUCRE,116
2010,2,TOLIMA,91
2010,2,VALLE,267
2010,2,VAUPES,0
2010,2,VICHADA,0
2010,3,AMAZONAS,2
2010,3,ANTIOQUIA,76
2010,3,ARAUCA,4
2010,3,ATLANTICO,127
2010,3,BOLIVAR,68
2010,3,BOYACA,22
2010,3,CALDAS,74
2010,3,CAQUETA,37
2010,3,CASANARE,8
2010,3,CAUCA,32
2010,3,CESAR,21
2010,3,CHOCO,10
2010,3,CORDOBA,34
2010,3,CUNDINAMARCA,708
2010,3,GUAINIA,0
2010,3,GUAJIRA,17
2010,3,GUAVIARE,0
2010,3,HUILA,67
2010,3,MAGDALENA,36
2010,3,META,139
2010,3,NARINO,40
2010,3,NORTE DE SANTANDER,7
2010,3,PUTUMAYO,1
2010,3,QUINDIO,14
2010,3,RISARALDA,71
2010,3,SAN ANDRES,3
2010,3,SANTANDER,219
2010,3,SUCRE,67
2010,3,TOLIMA,71
2010,3,VALLE,296
2010,3,VAUPES,0
2010,3,VICHADA,0
2010,4,AMAZONAS,1
2010,4,ANTIOQUIA,44
2010,4,ARAUCA,5
2010,4,ATLANTICO,156
2010,4,BOLIVAR,42
2010,4,BOYACA,43
2010,4,CALDAS,87
2010,4,CAQUETA,15
2010,4,CASANARE,10
2010,4,CAUCA,27
2010,4,CESAR,7
2010,4,CHOCO,14
2010,4,CORDOBA,15
2010,4,CUNDINAMARCA,623
2010,4,GUAINIA,0
2010,4,GUAJIRA,79
2010,4,GUAVIARE,0
2010,4,HUILA,62
2010,4,MAGDALENA,15
2010,4,META,134
2010,4,NARINO,64
2010,4,NORTE DE SANTANDER,22
2010,4,PUTUMAYO,5
2010,4,QUINDIO,26
2010,4,RISARALDA,37
2010,4,SAN ANDRES,0
2010,4,SANTANDER,182
2010,4,SUCRE,82
2010,4,TOLIMA,80
2010,4,VALLE,303
2010,4,VAUPES,0
2010,4,VICHADA,0
2010,5,AMAZONAS,0
2010,5,ANTIOQUIA,76
2010,5,ARAUCA,2
2010,5,ATLANTICO,177
2010,5,BOLIVAR,83
2010,5,BOYACA,58
2010,5,CALDAS,69
2010,5,CAQUETA,11
2010,5,CASANARE,3
2010,5,CAUCA,49
2010,5,CESAR,20
2010,5,CHOCO,6
2010,5,CORDOBA,5
2010,5,CUNDINAMARCA,730
2010,5,GUAINIA,0
2010,5,GUAJIRA,59
2010,5,GUAVIARE,3
2010,5,HUILA,103
2010,5,MAGDALENA,44
2010,5,META,224
2010,5,NARINO,61
2010,5,NORTE DE SANTANDER,17
2010,5,PUTUMAYO,2
2010,5,QUINDIO,31
2010,5,RISARALDA,48
2010,5,SAN ANDRES,1
2010,5,SANTANDER,161
2010,5,SUCRE,76
2010,5,TOLIMA,96
2010,5,VALLE,281
2010,5,VAUPES,0
2010,5,VICHADA,0
2010,6,AMAZONAS,2
2010,6,ANTIOQUIA,85
2010,6,ARAUCA,4
2010,6,ATLANTICO,146
2010,6,BOLIVAR,40
2010,6,BOYACA,95
2010,6,CALDAS,81
2010,6,CAQUETA,18
2010,6,CASANARE,6
2010,6,CAUCA,25
2010,6,CESAR,20
2010,6,CHOCO,5
2010,6,CORDOBA,11
2010,6,CUNDINAMARCA,627
2010,6,GUAINIA,0
2010,6,GUAJIRA,45
2010,6,GUAVIARE,0
2010,6,HUILA,74
2010,6,MAGDALENA,60
2010,6,META,154
2010,6,NARINO,11
2010,6,NORTE DE SANTANDER,13
2010,6,PUTUMAYO,2
2010,6,QUINDIO,18
2010,6,RISARALDA,29
2010,6,SAN ANDRES,3
2010,6,SANTANDER,310
2010,6,SUCRE,94
2010,6,TOLIMA,140
2010,6,VALLE,251
2010,6,VAUPES,0
2010,6,VICHADA,0
2010,7,AMAZONAS,0
2010,7,ANTIOQUIA,69
2010,7,ARAUCA,20
2010,7,ATLANTICO,237
2010,7,BOLIVAR,90
2010,7,BOYACA,52
2010,7,CALDAS,53
2010,7,CAQUETA,29
2010,7,CASANARE,9
2010,7,CAUCA,12
2010,7,CESAR,20
2010,7,CHOCO,1
2010,7,CORDOBA,5
2010,7,CUNDINAMARCA,847
2010,7,GUAINIA,0
2010,7,GUAJIRA,11
2010,7,GUAVIARE,0
2010,7,HUILA,179
2010,7,MAGDALENA,37
2010,7,META,134
2010,7,NARINO,21
2010,7,NORTE DE SANTANDER,25
2010,7,PUTUMAYO,8
2010,7,QUINDIO,21
2010,7,RISARALDA,44
2010,7,SAN ANDRES,9
2010,7,SANTANDER,223
2010,7,SUCRE,89
2010,7,TOLIMA,103
2010,7,VALLE,315
2010,7,VAUPES,0
2010,7,VICHADA,0
2010,8,AMAZONAS,1
2010,8,ANTIOQUIA,63
2010,8,ARAUCA,10
2010,8,ATLANTICO,150
2010,8,BOLIVAR,89
2010,8,BOYACA,61
2010,8,CALDAS,70
2010,8,CAQUETA,7
2010,8,CASANARE,9
2010,8,CAUCA,12
2010,8,CESAR,11
2010,8,CHOCO,13
2010,8,CORDOBA,2
2010,8,CUNDINAMARCA,710
2010,8,GUAINIA,0
2010,8,GUAJIRA,63
2010,8,GUAVIARE,2
2010,8,HUILA,97
2010,8,MAGDALENA,55
2010,8,META,242
2010,8,NARINO,42
2010,8,NORTE DE SANTANDER,15
2010,8,PUTUMAYO,4
2010,8,QUINDIO,37
2010,8,RISARALDA,48
2010,8,SAN ANDRES,1
2010,8,SANTANDER,215
2010,8,SUCRE,64
2010,8,TOLIMA,91
2010,8,VALLE,330
2010,8,VAUPES,0
2010,8,VICHADA,0
2010,9,AMAZONAS,12
2010,9,ANTIOQUIA,57
2010,9,ARAUCA,7
2010,9,ATLANTICO,194
2010,9,BOLIVAR,75
2010,9,BOYACA,57
2010,9,CALDAS,66
2010,9,CAQUETA,42
2010,9,CASANARE,5
2010,9,CAUCA,30
2010,9,CESAR,7
2010,9,CHOCO,1
2010,9,CORDOBA,11
2010,9,CUNDINAMARCA,683
2010,9,GUAINIA,0
2010,9,GUAJIRA,23
2010,9,GUAVIARE,0
2010,9,HUILA,117
2010,9,MAGDALENA,37
2010,9,META,127
2010,9,NARINO,13
2010,9,NORTE DE SANTANDER,14
2010,9,PUTUMAYO,5
2010,9,QUINDIO,27
2010,9,RISARALDA,70
2010,9,SAN ANDRES,1
2010,9,SANTANDER,188
2010,9,SUCRE,86
2010,9,TOLIMA,180
2010,9,VALLE,339
2010,9,VAUPES,0
2010,9,VICHADA,0
2010,10,AMAZONAS,0
2010,10,ANTIOQUIA,65
2010,10,ARAUCA,4
2010,10,ATLANTICO,227
2010,10,BOLIVAR,66
2010,10,BOYACA,40
2010,10,CALDAS,59
2010,10,CAQUETA,19
2010,10,CASANARE,10
2010,10,CAUCA,7
2010,10,CESAR,29
2010,10,CHOCO,3
2010,10,CORDOBA,3
2010,10,CUNDINAMARCA,607
2010,10,GUAINIA,2
2010,10,GUAJIRA,30
2010,10,GUAVIARE,1
2010,10,HUILA,71
2010,10,MAGDALENA,26
2010,10,META,159
2010,10,NARINO,7
2010,10,NORTE DE SANTANDER,18
2010,10,PUTUMAYO,9
2010,10,QUINDIO,40
2010,10,RISARALDA,88
2010,10,SAN ANDRES,1
2010,10,SANTANDER,192
2010,10,SUCRE,100
2010,10,TOLIMA,98
2010,10,VALLE,229
2010,10,VAUPES,0
2010,10,VICHADA,1
2010,11,AMAZONAS,7
2010,11,ANTIOQUIA,74
2010,11,ARAUCA,24
2010,11,ATLANTICO,128
2010,11,BOLIVAR,122
2010,11,BOYACA,35
2010,11,CALDAS,45
2010,11,CAQUETA,7
2010,11,CASANARE,4
2010,11,CAUCA,6
2010,11,CESAR,12
2010,11,CHOCO,1
2010,11,CORDOBA,8
2010,11,CUNDINAMARCA,483
2010,11,GUAINIA,0
2010,11,GUAJIRA,16
2010,11,GUAVIARE,0
2010,11,HUILA,75
2010,11,MAGDALENA,12
2010,11,META,136
2010,11,NARINO,21
2010,11,NORTE DE SANTANDER,25
2010,11,PUTUMAYO,2
2010,11,QUINDIO,40
2010,11,RISARALDA,239
2010,11,SAN ANDRES,5
2010,11,SANTANDER,128
2010,11,SUCRE,74
2010,11,TOLIMA,75
2010,11,VALLE,292
2010,11,VAUPES,0
2010,11,VICHADA,0
2010,12,AMAZONAS,3
2010,12,ANTIOQUIA,56
2010,12,ARAUCA,6
2010,12,ATLANTICO,176
2010,12,BOLIVAR,429
2010,12,BOYACA,26
2010,12,CALDAS,50
2010,12,CAQUETA,4
2010,12,CASANARE,4
2010,12,CAUCA,1
2010,12,CESAR,14
2010,12,CHOCO,8
2010,12,CORDOBA,1
2010,12,CUNDINAMARCA,4633
2010,12,GUAINIA,0
2010,12,GUAJIRA,20
2010,12,GUAVIARE,0
2010,12,HUILA,169
2010,12,MAGDALENA,8
2010,12,META,123
2010,12,NARINO,20
2010,12,NORTE DE SANTANDER,31
2010,12,PUTUMAYO,0
2010,12,QUINDIO,23
2010,12,RISARALDA,42
2010,12,SAN ANDRES,0
2010,12,SANTANDER,122
